id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
1958,TRON,TRX,tron,1070,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86376044274.45973,86376024804.98749,True,,10,,,,2024-11-18T05:19:00.000Z,0.20336469792264839,704220101.8666676,-39.07,0.10011223,3.89255318,22.97133621,28.52209056,35.60237494,41.56471507,17565838151.628807,0.5759,17565834192.23,,2024-11-18T05:19:00.000Z,,,,,,2024-11-18 12:19:29.274814,
5994,Shiba Inu,SHIB,shiba-inu,903,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589260502748674.5,589512465468568.8,False,,11,,,,2024-11-18T05:18:00.000Z,2.518504369811323e-05,1187757796.4358706,-9.3276,0.55648535,3.56103666,-1.50568009,31.74794495,80.50956866,82.5763367,14840551511.297539,0.4865,14846897203.41,,2024-11-18T05:18:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-11-18 12:19:29.274814,
5805,Avalanche,AVAX,avalanche,803,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,409026656.3994588,447362956.3994588,False,,12,,,,2024-11-18T05:18:00.000Z,35.22555618772558,970445495.2081048,-4.178,-1.21606586,-2.63350085,11.19643919,24.88538305,36.46957932,60.49414565,14408191467.27666,0.4721,25212646717.43,,2024-11-18T05:18:00.000Z,,,,,,2024-11-18 12:19:29.274814,
11419,Toncoin,TON,toncoin,610,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2545969938.795452,5115482698.50829,True,,13,3414166606.0,18688864669.968197,,2024-11-18T05:18:00.000Z,5.473917013049303,301761552.0001539,-44.3405,-0.73612094,-2.14304296,2.75818112,3.96176983,-4.48722288,-20.11619232,13936428162.684519,0.4567,28001727773.32,,2024-11-18T05:18:00.000Z,,,,,,2024-11-18 12:19:29.274814,
20947,Sui,SUI,sui,415,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,2845750695.583888,10000000000.0,False,,14,,,,2024-11-18T05:19:00.000Z,3.8165920303796046,1690143063.726171,-12.957,-1.11554223,3.65774998,19.78622968,84.93968825,178.3391633,313.026045,10861069425.212683,0.3559,38165920303.8,,2024-11-18T05:19:00.000Z,,,,,,2024-11-18 12:19:29.274814,
1975,Chainlink,LINK,chainlink,1877,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,626849970.4527867,1000000000.0,False,,15,,,,2024-11-18T05:18:00.000Z,14.28157751137097,524365789.8373083,-39.185,-0.62186769,-0.20295236,1.65381556,24.64851436,28.90167436,35.93311592,8952406441.022076,0.2934,14281577511.37,,2024-11-18T05:18:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-11-18 12:19:29.274814,
1,Bitcoin,BTC,bitcoin,11800,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19783778.0,19783778.0,False,,1,,,,2024-11-18T05:18:00.000Z,90528.3918972422,43447587761.72575,-4.1718,-0.05353915,-0.21919123,11.48442351,32.40007547,45.80038083,48.02998225,1790993607992.0383,58.6922,1901096229842.09,,2024-11-18T05:18:00.000Z,,,,,,,2024-11-18 12:19:30.071962
1027,Ethereum,ETH,ethereum,9562,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120424008.02826612,120424008.02826612,True,,2,,,,2024-11-18T05:18:00.000Z,3103.4377757180364,25212355351.74449,-13.7056,-0.19298724,-0.39160584,-1.69780148,17.33063063,28.47674787,15.35402403,373728415618.29315,12.2474,373728415618.29,,2024-11-18T05:18:00.000Z,,,,,,,2024-11-18 12:19:30.071962
825,Tether USDt,USDT,tether,103750,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,127539192697.57086,129825664180.66248,True,,3,,,,2024-11-18T05:18:00.000Z,1.0000763525291125,119694176689.8317,-15.7732,0.00969783,-0.00421519,-0.06135844,0.02052258,-0.01229458,-0.04860194,127548930637.4943,4.1799,129835576698.47,,2024-11-18T05:18:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,,2024-11-18 12:19:30.071962
5426,Solana,SOL,solana,787,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,474603626.3044614,588576448.9152458,True,,4,,,,2024-11-18T05:18:00.000Z,242.88773056131765,8765224584.283377,28.58,-0.31854737,2.05911456,17.70377073,57.17571083,74.90966919,63.91544777,115275397709.26231,3.7777,142957997938.86,,2024-11-18T05:18:00.000Z,,,,,,,2024-11-18 12:19:30.071962
